pcap_file,packet_index,ts,ts_iso,frame_len,src_ip,dst_ip,src_port,dst_port,protocol,geoip_src_country,geoip_src_asn,geoip_dst_country,geoip_dst_asn,is_dns,is_http,is_tls,tls_sni,tls_cert_issuer,tls_cert_fingerprint,tls_cached_info,tcp_flags,dns_qname,dns_qtype,dns_resp_code,dns_a_record,dns_a_ttl,dns_qname_length,dns_qname_entropy,enrich_vt,enrich_whois
demo.pcapng,1,1762971068.757023,2025-11-12T18:11:08.757023,55,192.168.29.118,13.248.151.210,52699,443,TCP,,,United States,AS16509 AMAZON-02,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,2,1762971068.763464,2025-11-12T18:11:08.763464,66,13.248.151.210,192.168.29.118,443,52699,TCP,United States,AS16509 AMAZON-02,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,3,1762971073.765287,2025-11-12T18:11:13.765287,42,,,,,ARP,,,,,0,0,0,,,,,,,,,,,,,,
demo.pcapng,4,1762971073.765311,2025-11-12T18:11:13.765311,42,,,,,ARP,,,,,0,0,0,,,,,,,,,,,,,,
demo.pcapng,5,1762971074.990134,2025-11-12T18:11:14.990134,55,192.168.29.118,148.113.9.53,52715,443,TCP,,,India,AS16276 OVH SAS,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,6,1762971074.997293,2025-11-12T18:11:14.997293,66,148.113.9.53,192.168.29.118,443,52715,TCP,India,AS16276 OVH SAS,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,7,1762971077.294217,2025-11-12T18:11:17.294217,95,,,55362,53,UDP,,,,,1,0,0,,,,,,www.youtube.com,65,,,,15.0,3.1898980954642875,{},{}
demo.pcapng,8,1762971077.295264,2025-11-12T18:11:17.295264,95,,,64740,53,UDP,,,,,1,0,0,,,,,,www.youtube.com,28,,,,15.0,3.1898980954642875,{},{}
demo.pcapng,9,1762971077.296808,2025-11-12T18:11:17.296808,95,,,53545,53,UDP,,,,,1,0,0,,,,,,www.youtube.com,1,,,,15.0,3.1898980954642875,{},{}
demo.pcapng,10,1762971077.313703,2025-11-12T18:11:17.313703,144,,,53,55362,UDP,,,,,1,0,0,,,,,,www.youtube.com,65,,,,15.0,3.1898980954642875,{},{}
demo.pcapng,11,1762971077.318538,2025-11-12T18:11:17.318538,385,,,53,53545,UDP,,,,,1,0,0,,,,,,www.youtube.com,1,,142.250.194.238,,15.0,3.1898980954642875,{},{}
demo.pcapng,12,1762971077.319625,2025-11-12T18:11:17.319625,241,,,53,64740,UDP,,,,,1,0,0,,,,,,www.youtube.com,28,,,,15.0,3.1898980954642875,{},{}
demo.pcapng,13,1762971077.322173,2025-11-12T18:11:17.322173,86,,,52958,443,TCP,,,,,0,0,0,,,,,0x0002,,,,,,,,,
demo.pcapng,14,1762971077.333242,2025-11-12T18:11:17.333242,86,,,443,52958,TCP,,,,,0,0,0,,,,,0x0012,,,,,,,,,
demo.pcapng,15,1762971077.333346,2025-11-12T18:11:17.333346,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,16,1762971077.334562,2025-11-12T18:11:17.334562,1514,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,17,1762971077.334562,2025-11-12T18:11:17.334562,391,,,52958,443,TCP,,,,,0,0,1,www.youtube.com,,,{},0x0018,,,,,,,,,
demo.pcapng,18,1762971077.343524,2025-11-12T18:11:17.343524,74,,,443,52958,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,19,1762971077.345009,2025-11-12T18:11:17.345009,74,,,443,52958,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,20,1762971077.350094,2025-11-12T18:11:17.350094,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,21,1762971077.3526,2025-11-12T18:11:17.352600,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,22,1762971077.3526,2025-11-12T18:11:17.352600,1294,,,443,52958,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,23,1762971077.3526,2025-11-12T18:11:17.352600,1294,,,443,52958,TCP,,,,,0,0,0,,,,,0x0018,,,,,,,,,
demo.pcapng,24,1762971077.3526,2025-11-12T18:11:17.352600,1294,,,443,52958,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,25,1762971077.3526,2025-11-12T18:11:17.352600,1294,,,443,52958,TCP,,,,,0,0,0,,,,,0x0018,,,,,,,,,
demo.pcapng,26,1762971077.3526,2025-11-12T18:11:17.352600,650,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,27,1762971077.353155,2025-11-12T18:11:17.353155,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,28,1762971077.357142,2025-11-12T18:11:17.357142,148,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,29,1762971077.357857,2025-11-12T18:11:17.357857,166,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,30,1762971077.366517,2025-11-12T18:11:17.366517,729,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,31,1762971077.367202,2025-11-12T18:11:17.367202,1034,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,32,1762971077.367517,2025-11-12T18:11:17.367517,105,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,33,1762971077.368187,2025-11-12T18:11:17.368187,105,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,34,1762971077.372986,2025-11-12T18:11:17.372986,74,,,443,52958,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,35,1762971077.411252,2025-11-12T18:11:17.411252,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,36,1762971077.527325,2025-11-12T18:11:17.527325,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
